gene,chr,strand,tss,pileup,utr,transcript
ENSMUSG00000029570,5,+,140607360,93,56,ENSMUST00000031555
ENSMUSG00000029578,5,+,142629572,233,187,ENSMUST00000036872
ENSMUSG00000029581,5,+,142960372,747,77,ENSMUST00000031565
ENSMUSG00000029586,5,+,143180592,11,425,ENSMUST00000197330
ENSMUSG00000029591,5,+,114131212,11,17,ENSMUST00000102584
ENSMUSG00000029592,5,+,114100363,52,70,ENSMUST00000200119
ENSMUSG00000029598,5,-,120503598,262,7,ENSMUST00000031597
ENSMUSG00000029599,5,+,120613128,114,8,ENSMUST00000031598
ENSMUSG00000029602,5,+,120649254,323,216,ENSMUST00000156722
ENSMUSG00000029605,5,+,120812665,6,36,ENSMUST00000086377
ENSMUSG00000029610,5,-,143909797,98,82,ENSMUST00000031613
ENSMUSG00000029613,5,+,143817838,106,53,ENSMUST00000100487
ENSMUSG00000029616,5,-,121452346,182,6,ENSMUST00000153758
ENSMUSG00000029617,5,-,144014876,136,64,ENSMUST00000031621
ENSMUSG00000029623,5,-,145140015,803,36,ENSMUST00000031627
ENSMUSG00000029625,5,+,145167237,55,120,ENSMUST00000070487
ENSMUSG00000029627,5,-,145201835,16,160,ENSMUST00000198959
ENSMUSG00000029632,6,-,11907432,2360,67,ENSMUST00000204714
ENSMUSG00000029638,6,+,8509429,61,171,ENSMUST00000162206
ENSMUSG00000029640,5,-,146794795,149,133,ENSMUST00000085614
ENSMUSG00000029641,5,+,146845142,65,75,ENSMUST00000031646
ENSMUSG00000029642,5,+,147077581,376,87,ENSMUST00000050970
ENSMUSG00000029646,5,-,147307333,5,351,ENSMUST00000031650
ENSMUSG00000029647,5,+,147430197,79,383,ENSMUST00000176600
ENSMUSG00000029648,5,-,147725993,198,259,ENSMUST00000031653
ENSMUSG00000029649,5,+,147860652,605,37,ENSMUST00000201120
ENSMUSG00000029651,5,+,148265142,128,268,ENSMUST00000146425
ENSMUSG00000029657,5,-,149636228,335,152,ENSMUST00000201452
ENSMUSG00000029660,5,+,149439686,7,41,ENSMUST00000202677
ENSMUSG00000029661,6,+,4505719,29,121,ENSMUST00000141483
ENSMUSG00000029670,6,+,21950042,45,13,ENSMUST00000149728
ENSMUSG00000029674,5,-,134688599,104,1,ENSMUST00000134093
ENSMUSG00000029681,5,+,135168493,167,14,ENSMUST00000031692
ENSMUSG00000029684,6,-,24664963,324,320,ENSMUST00000041737
ENSMUSG00000029701,6,-,29164662,304,54,ENSMUST00000007993
ENSMUSG00000029703,5,-,136135998,24,47,ENSMUST00000006301
ENSMUSG00000029705,5,-,136567247,173,7,ENSMUST00000176745
ENSMUSG00000029708,6,-,28421694,34,378,ENSMUST00000064377
ENSMUSG00000029710,5,+,137350140,22,458,ENSMUST00000111055
ENSMUSG00000029712,5,+,137553557,300,78,ENSMUST00000198601
ENSMUSG00000029715,5,-,137502402,86,333,ENSMUST00000111035
ENSMUSG00000029718,5,-,137611375,211,47,ENSMUST00000054564
ENSMUSG00000029720,5,+,137629199,107,8,ENSMUST00000177545
ENSMUSG00000029722,5,-,137684690,128,111,ENSMUST00000100544
ENSMUSG00000029723,5,+,137758196,603,116,ENSMUST00000110985
ENSMUSG00000029725,5,+,137778927,61,67,ENSMUST00000031739
ENSMUSG00000029735,6,-,43666173,30,371,ENSMUST00000067888
ENSMUSG00000029755,6,-,6881927,41,41,ENSMUST00000142635
ENSMUSG00000029759,6,-,5256230,66,4,ENSMUST00000031773
ENSMUSG00000029761,6,+,34709501,145,144,ENSMUST00000031775
ENSMUSG00000029762,6,+,34354150,8,81,ENSMUST00000038406
ENSMUSG00000029763,6,+,33249147,768,6,ENSMUST00000090381
ENSMUSG00000029769,6,+,29396613,209,72,ENSMUST00000115275
ENSMUSG00000029772,6,+,29768527,309,11,ENSMUST00000115242
ENSMUSG00000029775,6,+,30401914,151,80,ENSMUST00000068240
ENSMUSG00000029776,6,-,52640339,126,91,ENSMUST00000031788
ENSMUSG00000029780,6,-,56923847,51,38,ENSMUST00000031793
ENSMUSG00000029781,6,+,56832155,44,52,ENSMUST00000031795
ENSMUSG00000029782,6,-,30509710,161,23,ENSMUST00000115160
ENSMUSG00000029784,6,+,30509876,4,377,ENSMUST00000031797
ENSMUSG00000029787,6,+,56714934,122,188,ENSMUST00000204193
ENSMUSG00000029790,6,-,30693693,37,24,ENSMUST00000140211
ENSMUSG00000029798,6,+,57581011,23,26,ENSMUST00000203840
ENSMUSG00000029815,6,+,49073850,169,16,ENSMUST00000128616
ENSMUSG00000029816,6,+,49036649,15,74,ENSMUST00000204260
ENSMUSG00000029817,6,-,49264019,165,146,ENSMUST00000203820
ENSMUSG00000029823,6,+,38551487,269,361,ENSMUST00000057692
ENSMUSG00000029826,6,-,38354528,13,306,ENSMUST00000114900
ENSMUSG00000029833,6,+,37870841,36,270,ENSMUST00000031859
ENSMUSG00000029840,6,-,35539785,1383,175,ENSMUST00000201026
ENSMUSG00000029844,6,-,52158500,3,279,ENSMUST00000120363
ENSMUSG00000029860,6,+,42350071,138,198,ENSMUST00000203329
ENSMUSG00000029861,6,-,42324558,161,89,ENSMUST00000031891
ENSMUSG00000029863,6,+,42265097,17,27,ENSMUST00000031895
ENSMUSG00000029864,6,+,42245969,71,53,ENSMUST00000204088
ENSMUSG00000029875,15,+,98167871,126,445,ENSMUST00000031914
ENSMUSG00000029910,6,+,66535409,13,118,ENSMUST00000116605
ENSMUSG00000029922,6,-,39420434,102,151,ENSMUST00000051671
ENSMUSG00000029992,6,+,87042868,252,131,ENSMUST00000113658
ENSMUSG00000029998,6,-,86397103,210,19,ENSMUST00000153723
ENSMUSG00000029999,6,+,86195454,75,52,ENSMUST00000032066
ENSMUSG00000030002,6,-,85961635,161,100,ENSMUST00000032071
ENSMUSG00000030004,6,-,85831192,1,43,ENSMUST00000032073
ENSMUSG00000030007,6,+,85452081,308,41,ENSMUST00000032078
ENSMUSG00000030008,6,-,85451218,11,39,ENSMUST00000113770
ENSMUSG00000030019,6,+,119479525,58,335,ENSMUST00000032094
ENSMUSG00000030022,6,-,92943486,9,331,ENSMUST00000113438
ENSMUSG00000030029,6,-,94700149,41,464,ENSMUST00000204645
ENSMUSG00000030030,6,+,83156448,59,125,ENSMUST00000032106
ENSMUSG00000030032,6,-,83156354,61,484,ENSMUST00000125894
ENSMUSG00000030034,6,-,83125081,136,52,ENSMUST00000032109
ENSMUSG00000030035,6,-,83121405,79,134,ENSMUST00000205023
ENSMUSG00000030036,6,+,83115541,51,40,ENSMUST00000032114
ENSMUSG00000030037,6,+,83109108,173,4,ENSMUST00000113938
ENSMUSG00000030042,6,-,82652853,165,14,ENSMUST00000160281
ENSMUSG00000030045,6,-,81965928,168,1,ENSMUST00000032124
ENSMUSG00000030047,6,-,87532973,11,87,ENSMUST00000113637
ENSMUSG00000030051,6,-,87672143,14,121,ENSMUST00000065997
ENSMUSG00000030055,6,-,87811774,22,230,ENSMUST00000032135
ENSMUSG00000030056,6,-,87838713,41,67,ENSMUST00000089497
ENSMUSG00000030058,6,+,87887993,470,43,ENSMUST00000113607
ENSMUSG00000030059,6,-,97179105,151,82,ENSMUST00000095664
ENSMUSG00000030061,6,-,97205553,210,1,ENSMUST00000089287
ENSMUSG00000030062,6,+,88084524,761,7,ENSMUST00000032143
ENSMUSG00000030064,6,-,97487782,42,28,ENSMUST00000032146
ENSMUSG00000030069,6,-,99726397,5,77,ENSMUST00000203738
ENSMUSG00000030079,6,+,88465476,112,52,ENSMUST00000032165
ENSMUSG00000030082,6,-,88518795,149,103,ENSMUST00000032168
ENSMUSG00000030083,6,-,88841865,62,41,ENSMUST00000203272
ENSMUSG00000030086,6,-,89595597,144,52,ENSMUST00000032172
ENSMUSG00000030089,6,+,90611465,13,444,ENSMUST00000044019
ENSMUSG00000030091,6,-,91116798,34,14,ENSMUST00000113509
ENSMUSG00000030094,6,-,91515814,48,15,ENSMUST00000206476
ENSMUSG00000030095,6,+,91473729,146,158,ENSMUST00000032183
ENSMUSG00000030098,6,-,91807768,59,450,ENSMUST00000161566
ENSMUSG00000030103,6,+,108660666,498,247,ENSMUST00000032194
ENSMUSG00000030105,6,+,108783106,810,149,ENSMUST00000032196
ENSMUSG00000030111,6,+,121636231,20,58,ENSMUST00000032203
ENSMUSG00000030117,6,-,122609993,2,27,ENSMUST00000032211
ENSMUSG00000030122,6,-,124917942,2940,338,ENSMUST00000032216
ENSMUSG00000030123,6,-,115994819,31,14,ENSMUST00000015511
ENSMUSG00000030124,6,-,124911639,57,288,ENSMUST00000032217
ENSMUSG00000030137,6,+,121210806,53,28,ENSMUST00000032233
ENSMUSG00000030157,6,+,129180631,79,50,ENSMUST00000032260
ENSMUSG00000030161,6,+,129533396,740,51,ENSMUST00000204956
ENSMUSG00000030180,6,+,120364152,60,462,ENSMUST00000132009
ENSMUSG00000030188,6,-,131293213,102,48,ENSMUST00000032307
ENSMUSG00000030189,6,-,131388423,61,168,ENSMUST00000087865
ENSMUSG00000030201,6,-,134566953,91,256,ENSMUST00000032322
ENSMUSG00000030203,6,-,134792633,21,8,ENSMUST00000203452
ENSMUSG00000030204,6,+,135011638,225,4,ENSMUST00000032326
ENSMUSG00000030207,6,+,135198061,377,4,ENSMUST00000111915
ENSMUSG00000030218,6,-,136875782,178,52,ENSMUST00000032342
ENSMUSG00000030223,6,+,137252319,41,367,ENSMUST00000167679
ENSMUSG00000030224,6,+,137735133,523,222,ENSMUST00000064910
ENSMUSG00000030231,6,+,140424118,82,47,ENSMUST00000087622
ENSMUSG00000030232,6,+,140623593,103,102,ENSMUST00000087614
ENSMUSG00000030245,6,+,142387244,116,101,ENSMUST00000032372
ENSMUSG00000030254,6,-,112696638,23,44,ENSMUST00000156063
ENSMUSG00000030255,6,+,145934142,39,32,ENSMUST00000032383
ENSMUSG00000030256,6,-,145865390,84,123,ENSMUST00000111703
ENSMUSG00000030269,6,+,113237869,46,97,ENSMUST00000129883
ENSMUSG00000030270,6,+,113282345,65,129,ENSMUST00000041203
ENSMUSG00000030275,6,+,143167263,722,218,ENSMUST00000205256
ENSMUSG00000030276,6,+,113392489,29,8,ENSMUST00000032414
ENSMUSG00000030279,6,-,143099796,176,29,ENSMUST00000204655
ENSMUSG00000030281,6,+,113471507,21,176,ENSMUST00000058300
ENSMUSG00000030282,6,+,142756761,117,12,ENSMUST00000032419
ENSMUSG00000030283,6,-,142964143,33,375,ENSMUST00000205149
ENSMUSG00000030284,6,+,113483563,192,340,ENSMUST00000032422
ENSMUSG00000030286,6,-,113531630,170,148,ENSMUST00000032425
ENSMUSG00000030287,6,-,146502146,27,268,ENSMUST00000139732
ENSMUSG00000030291,6,+,146642599,262,12,ENSMUST00000204040
ENSMUSG00000030298,6,-,113740678,232,31,ENSMUST00000032440
ENSMUSG00000030306,6,-,148444320,38,121,ENSMUST00000060095
ENSMUSG00000030307,6,+,114131257,436,20,ENSMUST00000032451
ENSMUSG00000030313,6,-,149101531,86,222,ENSMUST00000127727
ENSMUSG00000030315,6,-,114921789,120,391,ENSMUST00000032459
ENSMUSG00000030316,6,-,115037842,30,58,ENSMUST00000174848
ENSMUSG00000030317,6,-,115251842,94,64,ENSMUST00000032462
ENSMUSG00000030321,6,-,115838439,36,307,ENSMUST00000032468
ENSMUSG00000030322,6,-,115853341,20,131,ENSMUST00000032469
ENSMUSG00000030323,6,+,115853592,125,77,ENSMUST00000112923
ENSMUSG00000030327,6,+,122874566,1153,3,ENSMUST00000032477
ENSMUSG00000030330,6,+,125039854,218,7,ENSMUST00000112417
ENSMUSG00000030335,6,+,125192199,167,156,ENSMUST00000032485
ENSMUSG00000030339,6,-,125313846,58,161,ENSMUST00000032489
ENSMUSG00000030341,6,+,125349746,82,278,ENSMUST00000130257
ENSMUSG00000030342,6,-,125494706,413,67,ENSMUST00000032492
ENSMUSG00000030350,6,-,127769124,72,377,ENSMUST00000032500
ENSMUSG00000030357,6,-,128438641,187,131,ENSMUST00000032508
ENSMUSG00000030397,7,-,19458818,73,324,ENSMUST00000085715
ENSMUSG00000030400,7,+,19382040,77,15,ENSMUST00000062831
ENSMUSG00000030401,7,+,19282672,170,160,ENSMUST00000032559
ENSMUSG00000030403,7,-,19271800,59,282,ENSMUST00000032561
ENSMUSG00000030407,7,-,19149191,68,6,ENSMUST00000032566
ENSMUSG00000030409,7,+,19083878,40,117,ENSMUST00000032568
ENSMUSG00000030410,7,+,19076267,88,3,ENSMUST00000108479
ENSMUSG00000030411,7,+,18925452,1240,436,ENSMUST00000032571
ENSMUSG00000030413,7,+,18884708,134,18,ENSMUST00000032573
ENSMUSG00000030417,7,-,35647378,249,7,ENSMUST00000118501
ENSMUSG00000030421,7,-,38019504,122,284,ENSMUST00000085513
ENSMUSG00000030423,7,-,38271340,109,187,ENSMUST00000032585
ENSMUSG00000030428,7,+,4119590,891,65,ENSMUST00000119661
ENSMUSG00000030432,7,+,4792978,1142,351,ENSMUST00000032597
ENSMUSG00000030435,7,+,5062231,178,57,ENSMUST00000209099
ENSMUSG00000030446,13,+,67813827,27,64,ENSMUST00000181391
ENSMUSG00000030451,7,+,56050178,392,18,ENSMUST00000205678
ENSMUSG00000030465,8,-,67818222,1433,116,ENSMUST00000059374
ENSMUSG00000030471,7,+,48789055,86,56,ENSMUST00000118927
ENSMUSG00000030493,7,-,35396791,36,473,ENSMUST00000154597
ENSMUSG00000030494,7,+,35334325,35,18,ENSMUST00000085556
ENSMUSG00000030495,7,+,35186422,161,60,ENSMUST00000135452
ENSMUSG00000030498,7,+,51861816,53,199,ENSMUST00000107589
ENSMUSG00000030500,7,+,51622505,37,130,ENSMUST00000207945
ENSMUSG00000030505,7,+,49778376,72,101,ENSMUST00000147401
ENSMUSG00000030512,7,+,66060563,101,48,ENSMUST00000032723
ENSMUSG00000030513,7,+,65862150,86,21,ENSMUST00000055576
ENSMUSG00000030515,7,+,65644914,176,31,ENSMUST00000032728
ENSMUSG00000030516,7,-,65370912,65,76,ENSMUST00000032729
ENSMUSG00000030521,7,-,64392216,170,22,ENSMUST00000032735
ENSMUSG00000030522,7,+,64287709,63,73,ENSMUST00000032736
ENSMUSG00000030525,7,-,63212519,103,43,ENSMUST00000032738
ENSMUSG00000030527,7,-,80688884,44,7,ENSMUST00000154761
ENSMUSG00000030533,7,-,80340181,66,62,ENSMUST00000133728
ENSMUSG00000030534,7,+,80269673,57,311,ENSMUST00000150585
ENSMUSG00000030536,7,-,80803258,113,63,ENSMUST00000167377
ENSMUSG00000030538,7,-,80232580,24,20,ENSMUST00000071457
ENSMUSG00000030541,7,-,80115299,119,23,ENSMUST00000107384
ENSMUSG00000030545,7,-,79743046,27,81,ENSMUST00000032761
ENSMUSG00000030551,7,-,70360718,172,389,ENSMUST00000032768
ENSMUSG00000030553,7,-,68264186,9,9,ENSMUST00000207874
ENSMUSG00000030554,7,-,67759740,43,112,ENSMUST00000074233
ENSMUSG00000030560,7,+,88278153,87,50,ENSMUST00000032779
ENSMUSG00000030579,7,+,30413794,146,45,ENSMUST00000032800
ENSMUSG00000030587,7,-,29248387,4,9,ENSMUST00000032808
ENSMUSG00000030588,7,+,29238366,86,25,ENSMUST00000032809
ENSMUSG00000030590,7,-,29156176,56,6,ENSMUST00000164589
ENSMUSG00000030591,7,-,29180459,454,6,ENSMUST00000182328
ENSMUSG00000030595,7,-,28766474,127,52,ENSMUST00000032815
ENSMUSG00000030603,7,-,28050033,334,15,ENSMUST00000140053
ENSMUSG00000030605,7,-,79149017,646,50,ENSMUST00000107409
ENSMUSG00000030607,7,+,79053260,16,223,ENSMUST00000206779
ENSMUSG00000030612,7,-,78783031,82,3,ENSMUST00000032841
ENSMUSG00000030613,7,+,92561524,68,12,ENSMUST00000032842
ENSMUSG00000030619,7,-,89980973,31,448,ENSMUST00000107234
ENSMUSG00000030621,7,+,89632445,190,466,ENSMUST00000032856
ENSMUSG00000030630,7,-,84605776,57,53,ENSMUST00000032865
ENSMUSG00000030638,7,+,82174851,179,124,ENSMUST00000032874
ENSMUSG00000030647,7,+,97400088,1205,101,ENSMUST00000149122
ENSMUSG00000030652,7,-,118533293,173,42,ENSMUST00000098090
ENSMUSG00000030654,7,-,118129569,1604,65,ENSMUST00000204005
ENSMUSG00000030662,14,+,120911248,588,6,ENSMUST00000032898
ENSMUSG00000030663,7,+,116093374,511,89,ENSMUST00000032899
ENSMUSG00000030671,7,+,114415260,18,21,ENSMUST00000210411
ENSMUSG00000030672,7,+,127208518,12,372,ENSMUST00000139613
ENSMUSG00000030678,7,-,127026731,186,312,ENSMUST00000205461
ENSMUSG00000030680,7,-,127017035,47,114,ENSMUST00000206416
ENSMUSG00000030682,7,+,126976462,186,302,ENSMUST00000206450
ENSMUSG00000030683,7,+,126950565,1699,473,ENSMUST00000106333
ENSMUSG00000030685,7,+,126928891,448,164,ENSMUST00000032924
ENSMUSG00000030689,7,-,126861855,109,70,ENSMUST00000205349
ENSMUSG00000030691,7,+,101108809,238,210,ENSMUST00000032931
ENSMUSG00000030697,7,-,126792484,55,326,ENSMUST00000032936
ENSMUSG00000030701,7,-,100656919,960,148,ENSMUST00000139708
ENSMUSG00000030704,7,+,100607779,1583,445,ENSMUST00000032946
ENSMUSG00000030706,7,-,100583073,136,63,ENSMUST00000150042
ENSMUSG00000030708,7,-,100514777,6,17,ENSMUST00000207405
ENSMUSG00000030711,7,-,126676349,63,31,ENSMUST00000106372
ENSMUSG00000030717,7,-,126625470,40,36,ENSMUST00000032961
ENSMUSG00000030718,7,-,100371940,259,117,ENSMUST00000032963
ENSMUSG00000030720,7,-,126583339,86,294,ENSMUST00000150311
ENSMUSG00000030722,7,-,126396718,11,3,ENSMUST00000075671
ENSMUSG00000030725,7,+,100159278,34,4,ENSMUST00000032967
ENSMUSG00000030726,7,-,100121481,77,58,ENSMUST00000032969
ENSMUSG00000030727,7,+,126429104,22,28,ENSMUST00000106407
ENSMUSG00000030729,7,+,100227692,269,232,ENSMUST00000054436
ENSMUSG00000030737,7,-,99706830,51,304,ENSMUST00000107088
ENSMUSG00000030738,7,-,126566368,1013,189,ENSMUST00000032992
ENSMUSG00000030741,7,-,126377405,199,328,ENSMUST00000119754
ENSMUSG00000030744,7,-,99483635,1516,14,ENSMUST00000032998
ENSMUSG00000030747,7,-,99182714,334,202,ENSMUST00000033001
ENSMUSG00000030751,7,-,114276058,248,55,ENSMUST00000033008
ENSMUSG00000030753,7,+,98703278,303,112,ENSMUST00000153566
ENSMUSG00000030757,7,-,123500547,24,98,ENSMUST00000206148
ENSMUSG00000030760,7,-,98309484,87,34,ENSMUST00000137899
ENSMUSG00000030762,7,+,123461988,5,303,ENSMUST00000206106
ENSMUSG00000030763,7,+,123378056,409,93,ENSMUST00000033025
ENSMUSG00000030766,7,-,123369871,63,65,ENSMUST00000205262
ENSMUSG00000030770,7,+,112427911,106,54,ENSMUST00000033030
ENSMUSG00000030780,7,-,128298088,105,5,ENSMUST00000126263
ENSMUSG00000030782,7,+,128246987,136,9,ENSMUST00000167965
ENSMUSG00000030785,7,-,128206314,109,19,ENSMUST00000033049
ENSMUSG00000030786,7,+,128062723,66,20,ENSMUST00000064821
ENSMUSG00000030787,7,-,110862921,4,53,ENSMUST00000033050
ENSMUSG00000030792,7,-,45211836,4,69,ENSMUST00000210741
ENSMUSG00000030793,7,-,127993703,21,50,ENSMUST00000033056
ENSMUSG00000030795,7,+,127967504,1613,61,ENSMUST00000121616
ENSMUSG00000030798,7,-,45238798,15,70,ENSMUST00000098461
ENSMUSG00000030804,7,-,127895586,137,132,ENSMUST00000126662
ENSMUSG00000030805,7,+,127841790,55,249,ENSMUST00000156537
ENSMUSG00000030806,7,-,127824501,935,212,ENSMUST00000106267
ENSMUSG00000030814,7,-,127708749,20,222,ENSMUST00000106282
ENSMUSG00000030815,7,+,127573597,71,275,ENSMUST00000121004
ENSMUSG00000030816,7,+,127588776,113,221,ENSMUST00000206914
ENSMUSG00000030823,7,-,127387136,14,179,ENSMUST00000049052
ENSMUSG00000030826,7,+,45570365,58,11,ENSMUST00000120864
ENSMUSG00000030835,7,+,46033749,138,83,ENSMUST00000033121
ENSMUSG00000030839,7,-,46639783,50,11,ENSMUST00000033127
ENSMUSG00000030842,7,+,101905956,312,43,ENSMUST00000033131
ENSMUSG00000030844,7,-,128418152,93,38,ENSMUST00000145739
ENSMUSG00000030846,7,-,128461329,244,173,ENSMUST00000123666
ENSMUSG00000030847,7,+,128523602,73,257,ENSMUST00000033136
ENSMUSG00000030850,7,-,130519471,151,10,ENSMUST00000216011
ENSMUSG00000030852,7,+,130692727,195,193,ENSMUST00000033141
ENSMUSG00000030861,7,+,131410670,140,76,ENSMUST00000015829
ENSMUSG00000030862,7,-,132154704,12,91,ENSMUST00000033149
ENSMUSG00000030865,7,+,122219476,13,20,ENSMUST00000160828
ENSMUSG00000030868,7,+,122133081,643,53,ENSMUST00000176193
ENSMUSG00000030869,7,-,122101825,934,3,ENSMUST00000033157
ENSMUSG00000030872,7,-,122021162,114,74,ENSMUST00000124566
ENSMUSG00000030876,7,+,121034661,146,150,ENSMUST00000033163
ENSMUSG00000030878,7,-,120982277,46,225,ENSMUST00000033169
ENSMUSG00000030879,7,-,105811049,105,68,ENSMUST00000176887
ENSMUSG00000030884,7,+,120635245,1244,45,ENSMUST00000208400
ENSMUSG00000030888,7,-,105736455,20,59,ENSMUST00000033179
ENSMUSG00000030890,7,+,105736693,104,456,ENSMUST00000136687
ENSMUSG00000030894,7,-,105752196,484,9,ENSMUST00000210066
ENSMUSG00000030898,7,+,105425955,26,70,ENSMUST00000181339
ENSMUSG00000030905,7,-,120201975,268,51,ENSMUST00000033198
ENSMUSG00000030929,7,-,119793959,57,19,ENSMUST00000139192
ENSMUSG00000030942,7,-,119720750,207,9,ENSMUST00000033236
ENSMUSG00000030946,7,+,132610662,45,44,ENSMUST00000033241
ENSMUSG00000030960,7,-,132852614,238,6,ENSMUST00000120425
ENSMUSG00000030978,7,+,102441816,35,209,ENSMUST00000033283
ENSMUSG00000030983,7,+,133709355,582,3,ENSMUST00000033282
ENSMUSG00000031004,7,-,135716322,3,183,ENSMUST00000033310
ENSMUSG00000031007,X,+,12587832,979,64,ENSMUST00000033313
ENSMUSG00000031012,X,-,13846527,65,461,ENSMUST00000124710
ENSMUSG00000031021,7,-,109752241,322,63,ENSMUST00000033333
ENSMUSG00000031023,7,+,109703762,15,174,ENSMUST00000143581
ENSMUSG00000031028,7,+,109010896,380,205,ENSMUST00000033341
ENSMUSG00000031029,7,+,108934426,1156,6,ENSMUST00000033342
ENSMUSG00000031066,X,+,20703950,387,18,ENSMUST00000033383
ENSMUSG00000031068,7,+,137437668,281,6,ENSMUST00000064404
ENSMUSG00000031074,7,+,144838681,18,27,ENSMUST00000105898
ENSMUSG00000031075,7,-,144738506,6,11,ENSMUST00000118556
ENSMUSG00000031077,7,-,144582432,12,43,ENSMUST00000033394
ENSMUSG00000031090,7,-,143822806,24,63,ENSMUST00000156779
ENSMUSG00000031093,X,+,35888854,39,77,ENSMUST00000033419
ENSMUSG00000031095,X,-,38564633,70,412,ENSMUST00000147129
ENSMUSG00000031099,X,-,47892472,67,76,ENSMUST00000101616
ENSMUSG00000031101,X,+,48146544,13,117,ENSMUST00000033427
ENSMUSG00000031104,X,+,48519461,73,140,ENSMUST00000033430
ENSMUSG00000031105,X,+,48623806,195,326,ENSMUST00000134757
ENSMUSG00000031107,X,+,48695091,86,25,ENSMUST00000033433
ENSMUSG00000031129,9,+,94669922,167,140,ENSMUST00000033463
ENSMUSG00000031143,X,-,7605375,73,82,ENSMUST00000033483
ENSMUSG00000031145,X,+,7657400,10,59,ENSMUST00000033485
ENSMUSG00000031146,X,-,7671360,15,122,ENSMUST00000033486
ENSMUSG00000031148,X,+,7697215,172,11,ENSMUST00000049896
ENSMUSG00000031149,X,+,7728574,814,10,ENSMUST00000033489
ENSMUSG00000031154,X,+,7842101,176,16,ENSMUST00000033494
ENSMUSG00000031156,X,+,7884339,101,4,ENSMUST00000207114
ENSMUSG00000031158,X,+,7899414,91,30,ENSMUST00000033498
ENSMUSG00000031165,X,-,8090449,12,21,ENSMUST00000033505
ENSMUSG00000031166,X,-,8132813,274,486,ENSMUST00000133292
ENSMUSG00000031170,X,+,8271439,7,44,ENSMUST00000033512
ENSMUSG00000031174,X,-,10216700,78,7,ENSMUST00000115532
ENSMUSG00000031176,X,-,9662930,483,32,ENSMUST00000033519
ENSMUSG00000031181,X,+,65047625,1,60,ENSMUST00000033524
ENSMUSG00000031197,X,+,75514334,599,5,ENSMUST00000114070
ENSMUSG00000031198,X,+,75382423,137,10,ENSMUST00000033541
ENSMUSG00000031201,X,+,75416711,204,8,ENSMUST00000033544
ENSMUSG00000031202,X,-,75578191,206,184,ENSMUST00000033545
ENSMUSG00000031207,X,+,96096109,85,123,ENSMUST00000117399
ENSMUSG00000031221,X,+,100494364,274,2,ENSMUST00000033570
ENSMUSG00000031224,X,-,104857211,45,168,ENSMUST00000033575
ENSMUSG00000031226,X,+,105079797,191,17,ENSMUST00000119477
ENSMUSG00000031227,X,+,105120426,469,185,ENSMUST00000033578
ENSMUSG00000031229,X,-,105929338,279,219,ENSMUST00000113573
ENSMUSG00000031230,X,+,105764425,50,116,ENSMUST00000033581
ENSMUSG00000031231,X,+,106015754,808,77,ENSMUST00000033582
ENSMUSG00000031239,X,-,107403337,292,121,ENSMUST00000033591
ENSMUSG00000031242,X,-,107816268,121,118,ENSMUST00000120722
ENSMUSG00000031245,X,-,109013341,48,75,ENSMUST00000033597
ENSMUSG00000031246,X,+,109095499,442,94,ENSMUST00000033598
ENSMUSG00000031256,X,+,134059350,83,15,ENSMUST00000033609
ENSMUSG00000031258,X,-,134162456,9,380,ENSMUST00000148722
ENSMUSG00000031262,X,+,134308060,12,24,ENSMUST00000144678
ENSMUSG00000031266,X,-,134600941,22,4,ENSMUST00000033621
ENSMUSG00000031290,X,-,147554098,30,17,ENSMUST00000137665
ENSMUSG00000031295,X,+,160502457,70,370,ENSMUST00000112377
ENSMUSG00000031299,X,-,160138360,326,48,ENSMUST00000033662
ENSMUSG00000031304,X,-,101268186,12,17,ENSMUST00000033664
ENSMUSG00000031309,X,+,159255896,29,224,ENSMUST00000033671
ENSMUSG00000031320,X,-,102189314,239,14,ENSMUST00000033683
ENSMUSG00000031326,X,+,103321446,98,114,ENSMUST00000033689
ENSMUSG00000031340,X,-,72274724,7,23,ENSMUST00000064780
ENSMUSG00000031342,X,+,166239017,976,116,ENSMUST00000112233
ENSMUSG00000031344,X,+,72825047,9,409,ENSMUST00000033711
ENSMUSG00000031347,X,-,72918333,196,17,ENSMUST00000114551
ENSMUSG00000031353,X,+,162760413,277,279,ENSMUST00000112326
ENSMUSG00000031355,X,+,169036668,37,154,ENSMUST00000139146
ENSMUSG00000031357,X,-,162888388,104,103,ENSMUST00000033723
ENSMUSG00000031358,X,-,168673839,46,10,ENSMUST00000033725
ENSMUSG00000031370,X,-,163958652,134,326,ENSMUST00000090840
ENSMUSG00000031371,X,-,73458999,28,60,ENSMUST00000077243
ENSMUSG00000031378,X,+,73716602,14,429,ENSMUST00000114461
ENSMUSG00000031387,X,-,73930762,10,19,ENSMUST00000116578
ENSMUSG00000031388,X,-,73921851,158,75,ENSMUST00000096316
ENSMUSG00000031392,X,-,74023821,83,76,ENSMUST00000114354
ENSMUSG00000031393,X,-,74085612,165,26,ENSMUST00000140399
ENSMUSG00000031399,X,-,74393132,94,445,ENSMUST00000114139
ENSMUSG00000031402,X,-,75130953,172,127,ENSMUST00000114092
ENSMUSG00000031403,X,+,75096110,45,2,ENSMUST00000132000
ENSMUSG00000031425,X,+,136822768,2722,146,ENSMUST00000033800
ENSMUSG00000031429,X,-,140956679,41,12,ENSMUST00000033805
